00357,гр.,Нови Искър,68134-21,1,21
02511,с.,Балша,68134-21,3,21
02659,гр.,Банкя,68134-24,1,21
04234,с.,Бистрица,68134-23,3,21
07106,с.,Бусманци,68134-14,3,21
07140,гр.,Бухово,68134-22,1,21
11394,с.,Владая,68134-17,3,21
11884,с.,Войнеговци,68134-21,3,21
12084,с.,Волуяк,68134-20,3,21
14831,с.,Герман,68134-23,3,21
16448,с.,Горни Богров,68134-22,3,21
21662,с.,Доброславци,68134-21,3,21
22304,с.,Долни Богров,68134-22,3,21
22472,с.,Долни Пасарел,68134-23,3,21
29150,с.,Железница,68134-23,3,21
29204,с.,Желява,68134-22,3,21
29430,с.,Житен,68134-21,3,21
32216,с.,Иваняне,68134-24,3,21
35239,с.,Казичене,68134-23,3,21
37280,с.,Клисура,68134-24,3,21
37914,с.,Кокаляне,68134-23,3,21
39791,с.,Кривина,68134-23,3,21
40436,с.,Кубратово,68134-21,3,21
41010,с.,Кътина,68134-21,3,21
44063,с.,Лозен,68134-23,3,21
44224,с.,Локорско,68134-21,3,21
46721,с.,Мало Бучино,68134-18,3,21
48393,с.,Мировяне,68134-21,3,21
49206,с.,Мрамор,68134-21,3,21
49597,с.,Мърчаево,68134-17,3,21
51250,с.,Негован,68134-21,3,21
55419,с.,Панчарево,68134-23,3,21
56624,с.,Плана,68134-23,3,21
57011,с.,Подгумер,68134-21,3,21
65601,с.,Световрачене,68134-21,3,21
80409,с.,Чепинци,68134-21,3,21
87401,с.,Яна,68134-22,3,21
